VideoID,Comment
Oj6SlpH0wz4,"ఎప్పుడు రా మీ జ్ఞానాన్ని నేర్చుకుంటారు ఫ్యాన్స్ ఫ్యాన్స్ అంటారు మీ నాన్నని ఎంచుకోండి రా కొంచెం వాళ్ళు మిమ్మల్ని వాడుకొని గొప్ప గొప్ప స్థాయిలో పడుతుంటే మీరేమో వాళ్ళని బతుకుతూ వాళ్ళని బతికేస్తూ వాళ్ల కోసం చస్తూ ఎందుకురా మీ బతుకులు మీ బతుకు చెడ అభిమానం ఉండాలి మితిమీరిన అభిమానం ఉండొద్దు 


అసలు ఫ్రీ రిలీజ్ ఈవెంట్ సే చేయొద్దు నిజానికి చెప్పాలంటే ఎందుకంటే ఒకపక్క థియేటర్లో సినిమాలు చూస్తారు ఇంకోపక్క వాడి ఫంక్షన్లకు పెట్రోల్ బస్ టికెట్లు అన్ని పెట్టుకుని డబ్బులు తగలేసి వస్తారు ఒక్క రూపాయి సహాయం చేయరు ఎవరికి"
Oj6SlpH0wz4,"NTR-Erripuku, mi family ni chuskondi ra bewarse"
Oj6SlpH0wz4,ఇది CBN చేస్తున్న కుట్ర
Oj6SlpH0wz4,జూనియర్ NTR ఒక 10/- మీకు ఏమన్నా ఇస్తాడా? అతను మిమ్మల్ని ఇంటికి పిలిచి భోజనం పెడతాడా? మీకు జబ్బు చేస్తే మీకు వైద్యం చేయిస్తాడా? మీకు కష్టం వస్తే ఆదుకుంటాడా? ? ఎందుకు మీరు ఇంత అభిమానిస్తున్నారు? కారణం ఏమిటీ?
Oj6SlpH0wz4,Family ni pattinchikodu anta....veedi wife and friends full enjoy chestharu...chaduvukoninte bagundu.
Oj6SlpH0wz4,Jai NTR🔥
Oj6SlpH0wz4,Ammo.. antra villu Jr.ntr fans andaru Dandupalyam batch laga unnaru🤣🤣
Oj6SlpH0wz4,Family Ni Pattinchukoleni Fans😂😂😂
Oj6SlpH0wz4,inta erripuk enti bro family ni kuda pattinchikodanta
Oj6SlpH0wz4,Mundhu amma babu ku annam pettandi raa
Oj6SlpH0wz4,E lokam lo okaokariki okkati pichi vuntadhi kadhaaa.... ...... Avarini apalam.. 🔥🔥
Oj6SlpH0wz4,Event organisers di mistake Ela avtaadi? Place vaallu decide cheyyaru … permissions batti production house decision teeskuntaadi .. aa lekkana Kalyan ram di tappu anestaara … burra undaali
Oj6SlpH0wz4,Nuv thopu same ntr lane unnav
Oj6SlpH0wz4,నీ అయ్య ముందు నీ అయ్యవ్వను సక్కగా సుస్కో బే
Oj6SlpH0wz4,ఎవడు రామన్నారు మరీ 400 500 కిలో మీటర్ల నుంచి ముందు మన జీవితం చూసుకోవాలి ఫ్యామిలీ ఏదో దేశానికి పెద్ద మంచి మెసేజ్ ఇస్తున్నట్లు బిల్డప్ ఎందుకు అన్న ఇంకా మనకు ఎవ్వని. Happy Ga Movie Vachi apudu చూసుకుంటూ ఎంజాయ్ చెయ్యండి ఎందుకు ఎం రాదు ను ఎంత పెద్ద ఫ్యాన్స్ ఐనా.
Oj6SlpH0wz4,"He want enjoy pre release event @ dance & anuridh performance,girl dance bla bla 😂😂"
Oj6SlpH0wz4,Orey verri pappaallaara.. evarraa meerantha.. orey me families ni chusukondi ra develop avvandi.. vadikosam evadu vellamannaadi 400 kms.. picha meeku?
Oj6SlpH0wz4,Ma prabas direct relese chestadu movies
Oj6SlpH0wz4,See movies as entertainment real hero is stories not ntr
