,Headline,Link,Full Article
0,BJP made farmers ‘urjadata’: Nitin Gadkari,https://www.tribuneindia.com/news/haryana/bjp-made-farmers-urjadata-nitin-gadkari/,"Amid the ongoing tussle between the farmers and the BJP, Union Minister of Road Transport and Highways Nitin Gadkari said earlier farmers were called ‘annadata’ only, now the BJP government had made them ‘urjadata’ too. As the paddy harvest has started, he called upon the farmers not to burn the stubble. “I observed paddy stubble being burnt, and I request the farmers not to burn it as there are technologies and plants to prepare CNG and LNG from stubble. Earlier, we used to call farmers ‘annadata’, but our government has made farmers ‘urjadata’ too.” Flex-fuel engine vehicles are coming and ethanol pumps are being opened in the country, it will increase the income of farmers. Hydrogen is the future and trust me farmers will produce hydrogen. Nitin Gadkari, Union Minister Gadkari addressed gatherings in support of party candidates Subhash Sudha in Thanesar and Nayab Singh Saini in Ladwa. Keeping his focus on farmers, he said: “Diversification of agriculture towards energy and power sector is the need of this country if we want to develop smart villages and ensure welfare of farmers and labourers. We are working with the aim to eliminate pollution, develop villages and generate employment. All such things are happening because there is a right government with right policies in the centre.” He said “After Independence, the Congress ruled this country for 60-65 years but failed to develop the nation, and people started leaving villages. Farmers committed suicide, and they were not given the priority. But the BJP introduced various welfare policies for farmers.” He also highlighted the various ongoing and upcoming projects in Haryana and said “Haryana is transforming at a rapid pace. We are carrying out projects worth around Rs 2 lakh crore. I know Kurukshetra needs a ring road, and before this election, I approved this project.” He said he would also consider the demand for the Ladwa bypass, which has been a major poll issue here. “This election will not determine the future of Congress and BJP, but it will decide the future of the people of Haryana. To develop Haryana, make farmers prosperous, and end corruption, I request you to vote for the BJP,” he said. The Tribune, now published from Chandigarh, started publication on February 2, 1881, in Lahore (now in Pakistan). It was started by Sardar Dyal Singh Majithia, a public-spirited philanthropist, and is run by a trust comprising five eminent persons as trustees.The Tribune, the largest selling English daily in North India, publishes news and views without any bias or prejudice of any kind. Restraint and moderation, rather than agitational language and partisanship, are the hallmarks of the newspaper. It is an independent newspaper in the real sense of the term.The Tribune has two sister publications, Punjabi Tribune (in Punjabi) and Dainik Tribune (in Hindi). Remembering Sardar Dyal Singh Majithia"
1,BJP gave priority to infrastructure under Modi govt: Nitin Gadkari,https://www.daijiworld.com/news/newsDisplay?newsID=1229943,"Gurugram, Sep 26 (IANS): Union Minister of Road Transport and Highways Nitin Gadkari on Wednesday said that the BJP gave priority to the infrastructure under the Modi government. The Union Minister campaigned for BJP Gurgaon candidate Mukesh Sharma in Gurugram district on Wednesday and sought votes for his party candidates in the upcoming Haryana state assembly elections. “BJP gave priority to infrastructure and the country has witnessed rapid development in the last 10 years of the Narendra Modi government and a network of roads has been laid across Haryana,” the Union Minister said while addressing a public gathering in support of BJP candidate at Ram Lilla ground in Bhim Nagar area. Gadkari while attacking the opposition said: ""The Congress party failed to do anything in the past 65 years what we have done in 10 years under the leadership of PM Modi. Our representatives have worked in your area. In Haryana alone, work worth more than Rs 2 lakh crore has been done by my ministry.” He said this election will decide the fate of Haryana and the people of Gurugram. ""Two things are important for the development of a country — an honest leader and a right policy — and both of these are there in the BJP. Therefore, you should strengthen the state by making BJP victorious and speed up the development of Haryana,” said Gadkari. He said if the BJP retains power in Haryana will touch new dimensions of development. Union Minister and BJP’s Gurgaon Lok Sabha candidate Rao Inderjit Singh, party candidate from the Gurgaon Assembly constituency Mukesh Sharma and other party leaders were also present at the gathering. Gadkari further said several flyover works are underway on the Delhi-Jaipur Expressway, Pataudi Road worth crores of rupees. He said that other major projects like the Delhi-Pune Expressway, Ambala-Shamali Expressway, and Delhi-Dehradun Expressway are in full swing and these projects will be operational by 2025. “I have been a Union Minister in the BJP government for 10 years. We have seen that Gadkari is such a minister who does what he says. A network of roads has been laid in Haryana and the country. People’s travel has become easier and only this is the development agenda of the Modi government,” Rao Inderjit Singh said. Haryana will go to polls in a single phase on October 5.  Heavy tollgate fees and heavy GST imposed on citizens. Citizens wallets are squeezed at the most.  Poor quality of work shown in the Infrastructure.  Roads damaged, Bridges collapsed, drains overflowed etc.  Some people making money and no quality, no progress.  It is eye wash work  Hate mongers and communalism got priority  Where did the Roads Disappear ... Please write your correct name and email address. Kindly do not post any personal, abusive, defamatory, infringing, obscene, indecent, discriminatory or unlawful or similar comments. Daijiworld.com will not be responsible for any defamatory message posted under this article.  Please note that sending false messages to insult, defame, intimidate, mislead or deceive people or to intentionally cause public disorder is punishable under law. It is obligatory on Daijiworld to provide the IP address and other details of senders of such comments, to the authority concerned upon request. Hence, sending offensive comments using daijiworld will be purely at your own risk, and in no way will Daijiworld.com be held responsible. 
                            Daijiworld Residency,
                            Airport Road, Bondel Post,
                            Mangalore - 575 008
                            Karnataka India
                            Telephone : +91-824-2982023.
                            General Enquiry: office@daijiworld.com,
                            News & Info : news@daijiworld.com
                         
                            Kishoo Enterprises,
                            
                            3rd Floor, Mandavi Trade Centre,
                            Kadiyali, Udupi – 576 102
                            
                            Telephone : 0091-820-4295571
                            
                            E-mail : udupi@daijiworld.com
                         
                            Daijiworld Middle East FZE,
                            P.O.Box: 84772, Dubai, UAE
                            Tel: 971-50-6597629
                            Fax: 971-4-2639207
                            Email: dubai@daijiworld.com
                         
                        Copyright © 2001 - 2024. All Rights Reserved.
                        
                        Published by Daijiworld Media Pvt Ltd., Mangalore.
                      Powered by ATC Online LLP"
2,Nitin Gadkari: Ruler in democracy must tolerate dissent,https://www.tribuneindia.com/news/india/nitin-gadkari-ruler-in-democracy-must-tolerate-dissent/,"Minister of Road Transport and Highways Nitin Gadkari has said the biggest test of democracy is that the ruler will tolerate even the strongest opinion against him, leading to introspection by the ruler. Writers and intellectuals should express themselves fearlessly, he said at a book release event at MIT World Peace University in Pune on Friday. The Modi-led BJP is often criticised for treating dissent as “anti-national”. Gadkari has been making periodic outbursts ever since Modi returned to power for a third term with a reduced majority. Recently, Gadkari said he was offered the PM’s post by a senior Opposition leader, but he declined. An amused Shiv Sena (UBT) MP, Priyanka Chaturvedi, said Gadkari cooked up the story to express his “heartfelt desire to be on the top chair”. The Tribune, now published from Chandigarh, started publication on February 2, 1881, in Lahore (now in Pakistan). It was started by Sardar Dyal Singh Majithia, a public-spirited philanthropist, and is run by a trust comprising five eminent persons as trustees.The Tribune, the largest selling English daily in North India, publishes news and views without any bias or prejudice of any kind. Restraint and moderation, rather than agitational language and partisanship, are the hallmarks of the newspaper. It is an independent newspaper in the real sense of the term.The Tribune has two sister publications, Punjabi Tribune (in Punjabi) and Dainik Tribune (in Hindi). Remembering Sardar Dyal Singh Majithia"
3,Why Nitin Gadkari Acknowledged Public Frustration Over Delays In The Mumbai-Goa Project And Agreed It’s Justified | Paisa Live,https://news.abplive.com/videos/news/india-why-nitin-gadkari-acknowledged-public-frustration-over-delays-in-the-mumbai-goa-project-and-agreed-it-s-justified-paisa-live-1719295,"India's Road Transport & Highway Minister, Nitin Gadkari, spoke at the Infra Conclave about the long-delayed Mumbai-Goa Project. He explained that the project initially started in 2009 under the Congress Party and was later handed over to the BJP. Despite the handover, the project remains incomplete, causing frustration among the public. Gadkari acknowledged the delays and highlighted that the government is working on a comprehensive strategy to complete the project. He also assured that efforts are being made to overcome the challenges and expedite the work. For a detailed understanding of the project’s current status and future strategy, watch our video till the end. This development is crucial for improving infrastructure and connectivity in the region, and Gadkari’s remarks shed light on the government’s commitment to seeing it through."
4,Nitin Gadkari: Ruler in democracy must tolerate dissent,https://www.tribuneindia.com/news/india/nitin-gadkari-ruler-in-democracy-must-tolerate-dissent/,"Minister of Road Transport and Highways Nitin Gadkari has said the biggest test of democracy is that the ruler will tolerate even the strongest opinion against him, leading to introspection by the ruler. Writers and intellectuals should express themselves fearlessly, he said at a book release event at MIT World Peace University in Pune on Friday. The Modi-led BJP is often criticised for treating dissent as “anti-national”. Gadkari has been making periodic outbursts ever since Modi returned to power for a third term with a reduced majority. Recently, Gadkari said he was offered the PM’s post by a senior Opposition leader, but he declined. An amused Shiv Sena (UBT) MP, Priyanka Chaturvedi, said Gadkari cooked up the story to express his “heartfelt desire to be on the top chair”. The Tribune, now published from Chandigarh, started publication on February 2, 1881, in Lahore (now in Pakistan). It was started by Sardar Dyal Singh Majithia, a public-spirited philanthropist, and is run by a trust comprising five eminent persons as trustees.The Tribune, the largest selling English daily in North India, publishes news and views without any bias or prejudice of any kind. Restraint and moderation, rather than agitational language and partisanship, are the hallmarks of the newspaper. It is an independent newspaper in the real sense of the term.The Tribune has two sister publications, Punjabi Tribune (in Punjabi) and Dainik Tribune (in Hindi). Remembering Sardar Dyal Singh Majithia"
5,Nitin Gadkari was asked if he wanted to become the Prime Minister. His reply was...,https://www.theweek.in/news/india/2024/09/15/nitin-gadkari-was-asked-if-he-wanted-to-become-the-prime-minister-his-reply-was.html,"Gadkari has earlier denied reports that he was the ""consensus PM face"" if BJP failed to get the majority in the 2024 general elections Union Minister Nitin Gadkari on Saturday revealed that a prominent political leader had proposed to support him if he wanted to become the Prime Minister. However, the veteran BJP leader said he declined the offer, as ""the role was not his life’s ambition."" Gadkari made the interesting remark during a speech he gave at the Anil Kumar Patrakarita Puraskar Samaroh organised by Vidarbha Gaurav Pratishthan on Saturday. 
 Reiterating his commitment to the organisation, Gadkari said: ""I remember one incident... I won’t name anyone. That person said, 'If you are going to become the Prime Minister, we will support you."" 
 #WATCH | Nagpur, Maharashtra | Union Minister Nitin Gadkari says, ""I do not want to name anyone but a person said to me, if you are going to become a Prime Minister, we will support you. I said, why you should support me, and why I should take your support. To become a Prime… pic.twitter.com/yo6QDpqq5b ""But I asked, why should you support me, and why should I accept your support? To become a Prime Minister is not the aim in my life. I am loyal to my conviction and organisation and I am not going to compromise for any post because my conviction is most important to me. I think that this conviction is the biggest strength of Indian democracy,"" Gadkari told the audience. 
 Though he did not give any other details, including who proposed the idea and when it happened, Gadkari's speech went viral on social media. While many praised him for his commitment to the organisation and conviction, others reacted that stating this on a public stage hinted at his desire to helm the top post. Some added that he was putting himself as a contender for the post for the next general elections.
 Gadkari has been Minister for Road Transport and Highways in the last two Narendra Modi governments. 
 An MP from Nagpur Lok Sabha seat, Gadkari emerged as a potential Prime Ministerial candidate during both the 2019 and 2024 Lok Sabha elections. There are also speculations that the political leader who offered to support the leader was from the Opposition INDIA bloc, just after the 2024 election results were announced. 
 However, months before the elections, Gadkari aleared the air about speculations that he could be a ""consensus PM face"" in case the Narendra Modi-led NDA government fails to secure a majority mark. ""I was never in the race for the prime minister’s job. I am content with whatever I am today. I am a committed BJP worker with conviction, not a politician by calculation,"" Gadkari told the Times of India during an interview. 
 Join our WhatsApp Channel to get the latest news, exclusives and videos on WhatsApp  *Articles appearing as INFOCUS/THE WEEK FOCUS are marketing initiatives Copyright © 2024 All rights reserved"
6,Why Nitin Gadkari Acknowledged Public Frustration Over Delays In The Mumbai-Goa Project And Agreed It’s Justified | Paisa Live,https://news.abplive.com/videos/news/india-why-nitin-gadkari-acknowledged-public-frustration-over-delays-in-the-mumbai-goa-project-and-agreed-it-s-justified-paisa-live-1719295,"India's Road Transport & Highway Minister, Nitin Gadkari, spoke at the Infra Conclave about the long-delayed Mumbai-Goa Project. He explained that the project initially started in 2009 under the Congress Party and was later handed over to the BJP. Despite the handover, the project remains incomplete, causing frustration among the public. Gadkari acknowledged the delays and highlighted that the government is working on a comprehensive strategy to complete the project. He also assured that efforts are being made to overcome the challenges and expedite the work. For a detailed understanding of the project’s current status and future strategy, watch our video till the end. This development is crucial for improving infrastructure and connectivity in the region, and Gadkari’s remarks shed light on the government’s commitment to seeing it through."
7,Nitin Gadkari was asked if he wanted to become the Prime Minister. His reply was...,https://www.theweek.in/news/india/2024/09/15/nitin-gadkari-was-asked-if-he-wanted-to-become-the-prime-minister-his-reply-was.html,"Gadkari has earlier denied reports that he was the ""consensus PM face"" if BJP failed to get the majority in the 2024 general elections Union Minister Nitin Gadkari on Saturday revealed that a prominent political leader had proposed to support him if he wanted to become the Prime Minister. However, the veteran BJP leader said he declined the offer, as ""the role was not his life’s ambition."" Gadkari made the interesting remark during a speech he gave at the Anil Kumar Patrakarita Puraskar Samaroh organised by Vidarbha Gaurav Pratishthan on Saturday. 
 Reiterating his commitment to the organisation, Gadkari said: ""I remember one incident... I won’t name anyone. That person said, 'If you are going to become the Prime Minister, we will support you."" 
 #WATCH | Nagpur, Maharashtra | Union Minister Nitin Gadkari says, ""I do not want to name anyone but a person said to me, if you are going to become a Prime Minister, we will support you. I said, why you should support me, and why I should take your support. To become a Prime… pic.twitter.com/yo6QDpqq5b ""But I asked, why should you support me, and why should I accept your support? To become a Prime Minister is not the aim in my life. I am loyal to my conviction and organisation and I am not going to compromise for any post because my conviction is most important to me. I think that this conviction is the biggest strength of Indian democracy,"" Gadkari told the audience. 
 Though he did not give any other details, including who proposed the idea and when it happened, Gadkari's speech went viral on social media. While many praised him for his commitment to the organisation and conviction, others reacted that stating this on a public stage hinted at his desire to helm the top post. Some added that he was putting himself as a contender for the post for the next general elections.
 Gadkari has been Minister for Road Transport and Highways in the last two Narendra Modi governments. 
 An MP from Nagpur Lok Sabha seat, Gadkari emerged as a potential Prime Ministerial candidate during both the 2019 and 2024 Lok Sabha elections. There are also speculations that the political leader who offered to support the leader was from the Opposition INDIA bloc, just after the 2024 election results were announced. 
 However, months before the elections, Gadkari aleared the air about speculations that he could be a ""consensus PM face"" in case the Narendra Modi-led NDA government fails to secure a majority mark. ""I was never in the race for the prime minister’s job. I am content with whatever I am today. I am a committed BJP worker with conviction, not a politician by calculation,"" Gadkari told the Times of India during an interview. 
 Join our WhatsApp Channel to get the latest news, exclusives and videos on WhatsApp  *Articles appearing as INFOCUS/THE WEEK FOCUS are marketing initiatives Copyright © 2024 All rights reserved"
8,Nitin Gadkari's 'PM Post' Claim: Opposition Says 'Well Played' But It's A 'Message For Modiji',https://www.timesnownews.com/india/nitin-gadkaris-pm-post-claim-opposition-says-well-played-but-its-a-message-for-modiji-article-113366061,"Updated Sep 15, 2024, 15:05 IST Union Minister Nitin Gadkari (File Photo) Meet The Astronauts Leading NASA’s Mission To Bring Sunita Williams Back To Earth Govt Extends AFSPA In Parts Of Nagaland, Arunachal For Six Months - Details Tim Roth Joins Cillian Murphy, Barry Keoghan On Peaky Blinders Film Chennai Power Cut Tomorrow: Outage Scheduled On September 27 In These Parts Of City- Details 'Dream of Winning Olympic Gold..': Manu Bhaker, Trolled For Flaunting Medals Silences Critics With Incredible Move Shakib Al Hasan Announces Retirement; Kanpur Test Vs India Might Be His Last If... Janhvi Kapoor's Sarees From Devara Promotions That We ALL Want In Our Wardrobe The Google Doodle Today Celebrates The Classic Popcorn, Play and Munch On A world of stories and music is where Anurag lives. Be it political, historical or thriller, he is someone who loves to listen to everyone's narrative...View More Govt Extends AFSPA In Parts Of Nagaland, Arunachal For Six Months - Details Breaking News LIVE: Arvind Kejriwal Claims BJP Halted Work In Delhi By Sending Him To Jail BJP State President Bawankule Denies Land Grab Allegations, Slams Opposition Shiv Sena's Sanjay Raut Gets 15-Day Jail Term In Defamation Case Filed By BJP Leader's Wife Ranveer Allahbadia's YouTube Channels Hacked, Renamed To Tesla © 2024 Bennett, Coleman & Company Limited"
9,Nitin Gadkari on caste politics: ‘Those who can't win elections…’,https://www.moneycontrol.com/news/india/nitin-gadkari-on-caste-politics-those-who-cant-win-elections-12823426.html,"See the top gainers, losers, invest and get updated what's happening in the crypto market India's Largest Regional Retail Option Traders Summit. (BOTS) is a prestigious options trading event organized by Traders Gurukul. Held on the 2nd OR 3rd Sunday of every month, across top cities in India This functionality will provide users with ease of access navigation and enable create a new revenue line by generating leads of potential customers for brokers in a more integrated manner. Union minister and senior BJP leader Nitin Gadkari has frowned upon the use of caste in politics and said that politicians who can‚Äôt win elections on the basis of their work talk about it. Gadkari was speaking to News18 India at the ‚ÄòChaupal‚Äô conclave on Monday evening. Stating that it is the BJP‚Äôs commitment to ensure social and economic equality in India, Gadkari said the BJP or the RSS never discuss policies and ideas on the basis of caste, community or religion. He further. lamented that backwardness had become an issue of political interest. ‚ÄúUnfortunately, there is a competition among everyone to prove that he is backward‚Ä¶Our problem today is not caste and community ‚Äì it is poverty, hunger and unemployment. How we can serve the poor, farmers, those living in villages, the marginalised on the basis of good governance and the right policies are what BJP works on,‚Äù said Gadkari, who handles the Union Road Transport and Highways portfolio. Asked if there was merit in the Opposition‚Äôs demand for a caste census, Gadkari chose to steer clear of the question of whether such an exercise should be taken up or not. He did, however, put forth an argument. ‚ÄúHas any caste-based leader done anything good for people of his community? When it comes to giving poll tickets, they says ‚Äògive a ticket to my wife, my son, daughter, uncle, driver‚Ä¶ What sort of upliftment is this?‚Äù Gadkari wondered, adding that there are ample examples of people whom we see as icons in society who have never done this. Gadkari then claimed that political leaders who cannot win elections based on their work seek votes on the basis of caste. ‚ÄúLeaders who are incapable of winning elections based on their work are the ones who seek votes in the name of caste.‚Äù The minister further added that the backward communities ‚Äì socially or economically ‚Äì will continue to get reservations as per their constitutional right. The minister also said during his interaction that he has never aspired to become the Prime Minister of the country. The comments came days after Gadkari said a senior Opposition leader had approached him with an offer to back his candidacy for the prime ministerial post ahead of the 2024 Lok Sabha elections. Gadkari claimed that he turned down the offer, citing his unwavering commitment to his party and its ideology.
         Top TrendsOne Nation One ElectionModi 3.0Mumbai RainsTIrupati Laddu CostJammu and Kashmir Polls   Copyright ¬© e-Eighteen.com Ltd. All rights reserved. Reproduction of news articles, photos, videos or any other content in whole or in part in any form 
        or medium without express writtern permission of moneycontrol.com is prohibited. You are already a Moneycontrol Pro user."
